name,planet_type,detection_method,discovery_year,year_class,mass_jup,rayon_jup,orbital_radius,orbital_period,eccentricity,distance,luminosité
Kepler-477 b,Super Earth,Transit,2016,2010–2020,0.015561000000000002,0.184644,0.0911,0.030390145,0.0,1197.0,13.835
Kepler-478 b,Neptune-like,Transit,2016,2010–2020,0.024569999999999998,0.242,0.1032,0.03613963,0.0,1370.0,14.156
Kepler-479 b,Neptune-like,Transit,2016,2010–2020,0.016191,0.18910400000000002,0.0994,0.034223136,0.0,1125.0,13.724
Kepler-47 b,Neptune-like,Transit,2012,2010–2020,0.006520499999999999,0.272,0.2877,0.13552362,0.02,3344.0,15.31
Kepler-47 c,Neptune-like,Transit,2012,2010–2020,0.0099855,0.415,0.9638,0.8301164,0.04,3344.0,15.31
Kepler-47 d,Neptune-like,Transit,2019,2010–2020,0.059913,0.628,0.6992,0.5130732,0.02,3344.0,15.31
Kepler-480 b,Neptune-like,Transit,2016,2010–2020,0.0256725,0.248,0.0605,0.013415469,0.0,2765.0,13.23
Kepler-481 b,Neptune-like,Transit,2016,2010–2020,0.021419999999999998,0.223,0.0894,0.027652293,0.0,2654.0,14.054
Kepler-482 b,Neptune-like,Transit,2016,2010–2020,0.0194355,0.211,0.2537,0.15441479,0.0,1021.0,14.049
Kepler-483 b,Neptune-like,Transit,2016,2010–2020,0.032760000000000004,0.286,0.2072,0.082683094,0.0,2806.0,13.452
Kepler-484 b,Neptune-like,Transit,2016,2010–2020,0.018333000000000002,0.203,0.0896,0.027378507,0.0,1247.0,13.077
Kepler-485 b,Gas Giant,Transit,2016,2010–2020,112.0,1.286,0.0433,0.008761123,0.0,3722.0,15.069
Kepler-487 c,Neptune-like,Transit,2016,2010–2020,0.0240975,0.239,0.2141,0.105954826,0.0,2846.0,14.882
Kepler-487 d,Neptune-like,Transit,2021,After 2020,0.025577999999999997,0.248,0.0337,0.006570842,0.0,2846.0,14.882
Kepler-488 b,Gas Giant,Transit,2016,2010–2020,124.0,1.409,0.0428,0.008487337,0.0,3736.0,14.868
Kepler-489 b,Gas Giant,Transit,2016,2010–2020,0.145,0.689,0.1209,0.047364816,0.0,1206.0,14.221
Kepler-48 b,Super Earth,Transit,2012,2010–2020,0.012411,0.16769599999999998,0.0528,0.013141684,0.0,1001.0,13.174
Kepler-48 c,Super Earth,Transit,2012,2010–2020,0.0460215,0.242,0.0845,0.026557151,0.0,1001.0,13.174
Kepler-48 d,Super Earth,Transit,2014,2010–2020,0.024979499999999998,0.18196800000000002,0.2279,0.117453806,0.0,1001.0,13.174
Kepler-491 b,Gas Giant,Transit,2016,2010–2020,0.186,0.796,0.0516,0.011498973,0.0,2058.0,14.178
Kepler-493 b,Gas Giant,Transit,2016,2010–2020,118.0,1.35,0.0439,0.008213553,0.0,5695.0,15.268
Kepler-494 b,Gas Giant,Transit,2016,2010–2020,0.127,0.637,0.0804,0.021902807,0.0,2447.0,14.287
Kepler-495 b,Neptune-like,Transit,2016,2010–2020,0.07497000000000001,0.467,0.0427,0.009308693,0.0,2149.0,14.942
Kepler-495 c,Super Earth,Transit,2021,After 2020,0.006237,0.1087348,0.0614,0.01615332,0.0,2149.0,14.942
Kepler-496 b,Neptune-like,Transit,2016,2010–2020,0.0188685,0.207,0.0747,0.022724163,0.0,1974.0,15.106
Kepler-497 b,Neptune-like,Transit,2016,2010–2020,0.09576,0.539,0.0457,0.009856262,0.0,4214.0,14.95
Kepler-498 b,Neptune-like,Transit,2016,2010–2020,0.0297045,0.27,0.0897,0.026283368,0.0,3063.0,14.349
Kepler-499 b,Neptune-like,Transit,2016,2010–2020,0.0168525,0.19356399999999999,0.0598,0.015331964,0.0,1816.0,14.63
Kepler-49 b,Super Earth,Transit,2012,2010–2020,0.0252,0.243,0.05929,0.019712524,0.0,1015.0,15.655
Kepler-49 c,Neptune-like,Transit,2012,2010–2020,0.018585,0.227,0.07821,0.029842572,0.0,1015.0,15.655
Kepler-49 d,Super Earth,Transit,2014,2010–2020,0.0100485,0.14272,0.031,0.007118412,0.0,1015.0,15.655
Kepler-49 e,Super Earth,Transit,2014,2010–2020,0.0096075,0.139152,0.116,0.050924025,0.0,1015.0,15.655
Kepler-4 b,Neptune-like,Transit,2009,Before 2010,0.07708680000000001,0.357,0.0456,0.008761123,0.0,1592.0,12.285
Kepler-500 b,Neptune-like,Transit,2016,2010–2020,0.022616999999999998,0.23,0.0806,0.023271732,0.0,2634.0,14.324
Kepler-501 b,Neptune-like,Transit,2016,2010–2020,0.053865,0.384,0.0627,0.015331964,0.0,3671.0,14.886
Kepler-501 c,Super Earth,Transit,2021,After 2020,0.010930500000000001,0.1499452,0.0467,0.009856262,0.0,3671.0,14.886
Kepler-502 b,Neptune-like,Transit,2016,2010–2020,0.06426,0.426,0.0535,0.011772759,0.0,5190.0,15.136
Kepler-504 b,Super Earth,Transit,2016,2010–2020,0.009922499999999999,0.141828,0.0646,0.026009582,0.0,323.0,15.143
Kepler-505 b,Neptune-like,Transit,2016,2010–2020,0.022900499999999997,0.232,0.1445,0.075290896,0.0,924.0,15.607
Kepler-506 b,Neptune-like,Transit,2016,2010–2020,0.024885,0.244,0.075,0.01889117,0.0,745.0,11.094
Kepler-507 b,Super Earth,Transit,2016,2010–2020,0.007056000000000001,0.11596000000000001,0.0473,0.009856262,0.0,1278.0,12.197
Kepler-508 b,Super Earth,Transit,2016,2010–2020,0.0104895,0.146288,0.1763,0.06926762,0.0,1059.0,11.592
Kepler-509 b,Neptune-like,Transit,2016,2010–2020,0.021294,0.222,0.2384,0.11416838,0.0,1084.0,11.848
Kepler-50 b,Super Earth,Transit,2012,2010–2020,0.028035,0.152532,0.077,0.021355236,0.0,816.0,10.544
Kepler-50 c,Neptune-like,Transit,2012,2010–2020,0.02583,0.19356399999999999,0.087,0.025735795,0.0,816.0,10.544
Kepler-510 b,Neptune-like,Transit,2016,2010–2020,0.020979,0.22,0.134,0.053661875,0.0,1260.0,12.067
Kepler-511 b,Neptune-like,Transit,2016,2010–2020,0.10426500000000001,0.567,0.8589,0.8120466,0.0,2127.0,12.711
Kepler-511 c,Neptune-like,Transit,2021,After 2020,0.051975,0.376,0.1722,0.07282683,0.0,2127.0,12.711
Kepler-512 b,Neptune-like,Transit,2016,2010–2020,0.024255000000000002,0.24,0.2194,0.094182074,0.0,1525.0,12.728
Kepler-513 b,Neptune-like,Transit,2016,2010–2020,0.017262000000000003,0.19624000000000003,0.1789,0.079123884,0.0,1527.0,13.019
Kepler-514 b,Super Earth,Transit,2016,2010–2020,0.0113715,0.153424,0.0676,0.015605749,0.0,1485.0,12.273
Kepler-515 b,Super Earth,Transit,2016,2010–2020,0.0085995,0.130232,0.1333,0.054757014,0.0,832.0,12.913
Kepler-516 b,Neptune-like,Transit,2016,2010–2020,0.08788499999999999,0.512,0.1992,0.068172485,0.0,2241.0,12.121
Kepler-517 b,Neptune-like,Transit,2016,2010–2020,0.0239715,0.238,0.2897,0.16673511,0.0,946.0,12.372
Kepler-518 b,Neptune-like,Transit,2016,2010–2020,0.016065,0.188212,0.081,0.023271732,0.0,1102.0,12.573
Kepler-519 b,Neptune-like,Transit,2016,2010–2020,0.015939,0.18732000000000001,0.1594,0.06652977,0.0,804.0,12.77
Kepler-51 b,Neptune-like,Transit,2012,2010–2020,0.006615,0.633,0.2514,0.12375086,0.04,2557.0,14.885
Kepler-51 c,Neptune-like,Transit,2012,2010–2020,0.0126,0.803,0.384,0.23353869,0.01,2557.0,14.885
Kepler-51 d,Neptune-like,Transit,2014,2010–2020,0.02394,0.865,0.509,0.35646817,0.01,2557.0,14.885
Kepler-520 b,Super Earth,Transit,2016,2010–2020,0.0106785,0.148072,0.144,0.053935662,0.0,2035.0,12.798
Kepler-520 c,Super Earth,Transit,2016,2010–2020,0.003906,0.095444,0.0594,0.014236824,0.0,2035.0,12.798
Kepler-521 b,Neptune-like,Transit,2016,2010–2020,0.03213,0.284,0.1699,0.06078029,0.0,2710.0,12.94
Kepler-522 b,Gas Giant,Transit,2016,2010–2020,0.12033,0.616,0.2551,0.10568104,0.0,2085.0,12.22
Kepler-523 b,Super Earth,Transit,2016,2010–2020,0.014175,0.174832,0.0606,0.015879534,0.0,826.0,12.588
Kepler-524 b,Super Earth,Transit,2016,2010–2020,0.013576499999999998,0.170372,0.0791,0.021902807,0.0,3452.0,14.082
Kepler-524 c,Terrestrial,Transit,2016,2010–2020,0.002646,0.085632,0.0303,0.005201916,0.0,3452.0,14.082
Kepler-525 b,Neptune-like,Transit,2016,2010–2020,0.0233415,0.235,0.1396,0.051197812,0.0,3239.0,13.613
Kepler-526 b,Super Earth,Transit,2016,2010–2020,0.014553,0.177508,0.064,0.015058179,0.0,2173.0,13.194
Kepler-527 b,Neptune-like,Transit,2016,2010–2020,0.0266175,0.253,0.1179,0.036413416,0.0,2447.0,13.471
Kepler-528 b,Super Earth,Transit,2016,2010–2020,0.015687000000000003,0.185536,0.1409,0.054209445,0.0,2558.0,14.064
Kepler-529 b,Super Earth,Transit,2016,2010–2020,0.012978,0.165912,0.0309,0.0054757018,0.0,2606.0,13.779
Kepler-529 c,Super Earth,Transit,2016,2010–2020,0.014679000000000001,0.1784,0.1075,0.03504449,0.0,2606.0,13.779
Kepler-529 d,Neptune-like,Transit,2021,After 2020,0.025893000000000003,0.249,0.2134,0.09828885,0.0,2606.0,13.779
Kepler-52 b,Neptune-like,Transit,2012,2010–2020,0.42476,0.18732000000000001,0.0637,0.02162902,0.0,1049.0,15.513
Kepler-52 c,Gas Giant,Transit,2012,2010–2020,0.14284,0.164128,0.10379,0.044900753,0.0,1049.0,15.513
Kepler-52 d,Super Earth,Transit,2014,2010–2020,0.014049,0.17394,0.182,0.099657774,0.0,1049.0,15.513
Kepler-530 b,Neptune-like,Transit,2016,2010–2020,0.029358000000000002,0.269,0.2212,0.10759754,0.0,1493.0,13.502
Kepler-531 b,Neptune-like,Transit,2016,2010–2020,0.0256725,0.248,0.1694,0.081861734,0.0,825.0,13.566
Kepler-532 b,Neptune-like,Transit,2016,2010–2020,0.0224595,0.229,0.1012,0.035318274,0.0,1020.0,13.74
Kepler-533 b,Neptune-like,Transit,2016,2010–2020,0.035910000000000004,0.302,0.165,0.078028746,0.0,988.0,14.128
Kepler-534 b,Neptune-like,Transit,2016,2010–2020,0.0177975,0.2,0.1272,0.043805614,0.0,1861.0,13.387
Kepler-534 c,Super Earth,Transit,2021,After 2020,0.006363,0.10944840000000002,0.0761,0.020260096,0.0,1861.0,13.387
Kepler-535 b,Neptune-like,Transit,2016,2010–2020,0.0194355,0.211,0.0594,0.013415469,0.0,2236.0,13.209
Kepler-536 b,Neptune-like,Transit,2016,2010–2020,0.03087,0.277,0.0276,0.004928131,0.0,1508.0,14.032
Kepler-537 b,Super Earth,Transit,2016,2010–2020,0.0080955,0.125772,0.0442,0.008761123,0.0,1433.0,13.173
Kepler-538 b,Super Earth,Transit,2016,2010–2020,0.033389999999999996,0.197578,0.4669,0.2236824,0.04,509.0,11.27
Kepler-539 b,Gas Giant,Transit,2016,2010–2020,0.97,0.747,0.4988,0.34387407,0.39,1002.0,12.444
Kepler-539 c,Gas Giant,Transit Timing Variations,2016,2010–2020,2.4,1.18,2.42,2.7,0.5,1002.0,12.444
Kepler-53 b,Gas Giant,Transit,2012,2010–2020,0.34925,0.258,0.139,0.050924025,0.0,4456.0,15.367
Kepler-53 c,Neptune-like,Transit,2012,2010–2020,0.1134,0.283,0.2255,0.10568104,0.0,4456.0,15.367
Kepler-53 d,Neptune-like,Transit,2014,2010–2020,0.016191,0.18910400000000002,0.091,0.026830938,0.0,4456.0,15.367
Kepler-540 b,Neptune-like,Transit,2016,2010–2020,0.024569999999999998,0.242,0.5886,0.4728268,0.0,1273.0,12.293
Kepler-541 b,Neptune-like,Transit,2016,2010–2020,0.03528,0.3,0.0641,0.013963039,0.0,3460.0,13.383
Kepler-542 b,Super Earth,Transit,2016,2010–2020,0.009733499999999999,0.140044,0.1038,0.035865847,0.0,1422.0,13.606
Kepler-543 b,Neptune-like,Transit,2016,2010–2020,0.021419999999999998,0.223,0.098,0.038056124,0.0,724.0,13.598
Kepler-544 b,Neptune-like,Transit,2016,2010–2020,0.016191,0.18910400000000002,0.1553,0.058590006,0.0,3142.0,13.667
Kepler-545 b,Neptune-like,Transit,2016,2010–2020,0.024255000000000002,0.24,0.1087,0.03613963,0.0,2668.0,14.205
Kepler-546 b,Gas Giant,Transit,2016,2010–2020,0.12316500000000001,0.624,0.0502,0.011225188,0.0,3326.0,14.325
Kepler-547 b,Neptune-like,Transit,2016,2010–2020,0.047564999999999996,0.357,0.058,0.016427105,0.0,1236.0,14.48
Kepler-549 b,Neptune-like,Transit,2016,2010–2020,0.03465,0.229,0.2283,0.117453806,0.0,2072.0,14.805
Kepler-549 c,Neptune-like,Transit,2016,2010–2020,0.0280665,0.261,0.4453,0.32032853,0.0,2072.0,14.805
Kepler-54 b,Super Earth,Transit,2012,2010–2020,0.06772500000000001,0.18732000000000001,0.0619,0.021902807,0.0,886.0,16.282
Kepler-54 c,Super Earth,Transit,2012,2010–2020,0.06237,0.109716,0.0809,0.033127997,0.0,886.0,16.282
Kepler-54 d,Super Earth,Transit,2014,2010–2020,0.009324,0.13647600000000001,0.126,0.057494868,0.0,886.0,16.282
Kepler-550 b,Neptune-like,Transit,2016,2010–2020,0.056385,0.394,0.0747,0.023545519,0.0,1735.0,14.626
Kepler-551 b,Neptune-like,Transit,2016,2010–2020,0.024885,0.244,0.0893,0.03394935,0.0,1015.0,15.278
Kepler-552 b,Neptune-like,Transit,2016,2010–2020,0.04662,0.352,0.0612,0.01451061,0.0,2752.0,14.476
Kepler-553 b,Neptune-like,Transit,2016,2010–2020,0.06111,0.413,0.0484,0.0109514035,0.0,2376.0,15.034
Kepler-554 b,Neptune-like,Transit,2016,2010–2020,0.05355,0.383,0.0293,0.005201916,0.0,2252.0,14.49
Kepler-555 b,Neptune-like,Transit,2016,2010–2020,0.02646,0.252,0.1201,0.044353183,0.0,3174.0,14.448
Kepler-556 b,Neptune-like,Transit,2016,2010–2020,0.0177975,0.2,0.0973,0.032032855,0.0,2201.0,14.316
Kepler-557 b,Neptune-like,Transit,2016,2010–2020,0.0239715,0.238,0.0469,0.010130048,0.0,6841.0,14.723
Kepler-558 b,Neptune-like,Transit,2016,2010–2020,0.0195615,0.211,0.1759,0.07939767,0.0,2159.0,14.899
Kepler-559 b,Neptune-like,Transit,2016,2010–2020,0.040005,0.322,0.1277,0.048186176,0.0,2534.0,14.863
Kepler-55 b,Super Earth,Transit,2012,2010–2020,0.135,0.217,0.1593,0.076386034,0.0,1888.0,15.746
Kepler-55 c,Super Earth,Transit,2012,2010–2020,0.22,0.197132,0.2095,0.11553731,0.0,1888.0,15.746
Kepler-55 d,Super Earth,Transit,2014,2010–2020,0.009922499999999999,0.141828,0.029,0.006023272,0.0,1888.0,15.746
Kepler-55 e,Super Earth,Transit,2014,2010–2020,0.009513,0.13826,0.048,0.012594113,0.0,1888.0,15.746
Kepler-55 f,Super Earth,Transit,2014,2010–2020,0.009922499999999999,0.141828,0.081,0.027926078,0.0,1888.0,15.746
Kepler-560 b,Super Earth,Transit,2016,2010–2020,0.0113715,0.153424,0.0899,0.05065024,0.17,357.0,15.66
Kepler-561 b,Gas Giant,Transit,2016,2010–2020,0.12190500000000001,0.621,0.2918,0.15989049,0.0,2027.0,14.427
Kepler-561 c,Neptune-like,Transit,2016,2010–2020,0.0240975,0.239,0.0593,0.014784395,0.0,2027.0,14.427
Kepler-562 b,Neptune-like,Transit,2016,2010–2020,0.074655,0.465,0.1333,0.049281314,0.0,3238.0,14.908
Kepler-563 b,Neptune-like,Transit,2016,2010–2020,0.0307125,0.276,0.1418,0.06078029,0.0,1844.0,14.901
Kepler-564 b,Neptune-like,Transit,2016,2010–2020,0.06111,0.413,0.0484,0.010403832,0.0,2815.0,14.883
Kepler-565 b,Neptune-like,Transit,2016,2010–2020,0.040635000000000004,0.325,0.0501,0.011498973,0.0,3396.0,15.231
Kepler-566 b,Neptune-like,Transit,2016,2010–2020,0.016600499999999997,0.19178,0.1247,0.050376453,0.0,1841.0,15.217
Kepler-567 b,Neptune-like,Transit,2016,2010–2020,0.017923500000000002,0.201,0.1229,0.04517454,0.0,1823.0,14.827
Kepler-568 b,Neptune-like,Transit,2016,2010–2020,0.018049500000000003,0.202,0.0794,0.030116359,0.0,426.0,15.216
Kepler-569 b,Neptune-like,Transit,2016,2010–2020,0.031814999999999996,0.282,0.1981,0.0936345,0.0,2082.0,14.244
Kepler-56 b,Neptune-like,Transit,2012,2010–2020,0.06961500000000001,0.581,0.1028,0.028747434,0.04,2978.0,12.598
Kepler-56 c,Gas Giant,Transit,2012,2010–2020,0.57,0.874,0.1652,0.058590006,0.0,2978.0,12.598
Kepler-56 d,Gas Giant,Radial Velocity,2016,2010–2020,5.61,1.14,2.16,2.7,0.2,2978.0,12.598
Kepler-570 b,Neptune-like,Transit,2016,2010–2020,0.020695500000000002,0.219,0.0497,0.011772759,0.0,1853.0,14.451
Kepler-571 b,Neptune-like,Transit,2016,2010–2020,0.023499,0.236,0.0546,0.013141684,0.0,2361.0,14.951
Kepler-572 b,Neptune-like,Transit,2016,2010–2020,0.022616999999999998,0.23,0.1192,0.047091037,0.0,1646.0,14.679
Kepler-573 b,Neptune-like,Transit,2016,2010–2020,0.02583,0.249,0.1486,0.06078029,0.0,2517.0,14.292
Kepler-574 b,Neptune-like,Transit,2016,2010–2020,0.019844999999999998,0.213,0.0723,0.021081451,0.0,2228.0,14.671
Kepler-575 b,Neptune-like,Transit,2016,2010–2020,0.019844999999999998,0.213,0.0788,0.025735795,0.0,2786.0,14.864
Kepler-576 b,Neptune-like,Transit,2016,2010–2020,0.033705,0.292,0.179,0.081861734,0.0,2014.0,14.627
Kepler-577 b,Neptune-like,Transit,2016,2010–2020,0.022176,0.227,0.1348,0.07036277,0.0,1710.0,15.155
Kepler-578 b,Super Earth,Transit,2016,2010–2020,0.014679000000000001,0.1784,0.0266,0.0043805614,0.0,1766.0,14.578
Kepler-579 b,Super Earth,Transit,2016,2010–2020,0.014679000000000001,0.1784,0.0854,0.026557151,0.0,1731.0,14.552
Kepler-57 b,Gas Giant,Transit,2012,2010–2020,0.36183,0.195348,0.06,0.015605749,0.0,2101.0,15.017
Kepler-57 c,Super Earth,Transit,2012,2010–2020,0.028665,0.13826,0.096,0.03175907,0.0,2101.0,15.017
Kepler-580 b,Neptune-like,Transit,2016,2010–2020,0.0224595,0.229,0.0683,0.022450376,0.0,1057.0,15.308
Kepler-581 b,Neptune-like,Transit,2016,2010–2020,0.0233415,0.235,0.2259,0.11115674,0.0,2296.0,14.701
Kepler-582 b,Neptune-like,Transit,2016,2010–2020,0.041264999999999996,0.328,0.1254,0.05065024,0.0,2000.0,15.097
Kepler-583 b,Neptune-like,Transit,2016,2010–2020,0.018333000000000002,0.203,0.0689,0.01779603,0.0,2829.0,14.883
Kepler-584 b,Neptune-like,Transit,2016,2010–2020,0.051975,0.376,0.2281,0.09637235,0.0,6031.0,14.973
Kepler-585 b,Neptune-like,Transit,2016,2010–2020,0.02646,0.252,0.0375,0.007665982,0.0,1909.0,14.188
Kepler-586 b,Neptune-like,Transit,2016,2010–2020,0.02583,0.249,0.0331,0.0057494864,0.0,2263.0,14.435
Kepler-587 b,Neptune-like,Transit,2016,2010–2020,0.01764,0.198916,0.0952,0.029842572,0.0,2570.0,15.011
Kepler-588 b,Neptune-like,Transit,2016,2010–2020,0.0233415,0.235,0.052,0.011498973,0.0,3945.0,14.8
Kepler-589 b,Neptune-like,Transit,2016,2010–2020,0.018175499999999997,0.203,0.1196,0.04517454,0.0,1999.0,14.775
Kepler-589 c,Super Earth,Transit,2021,After 2020,0.0045674999999999995,0.0996364,0.0426,0.009582478,0.0,1999.0,14.775
Kepler-58 b,Neptune-like,Transit,2012,2010–2020,0.11182500000000001,0.248,0.0927,0.027926078,0.0,3162.0,15.086
Kepler-58 c,Gas Giant,Transit,2012,2010–2020,0.16676,0.255,0.1228,0.042710472,0.0,3162.0,15.086
Kepler-58 d,Neptune-like,Transit,2014,2010–2020,0.028224000000000003,0.262,0.236,0.109787814,0.0,3162.0,15.086
Kepler-590 b,Neptune-like,Transit,2016,2010–2020,0.04788,0.359,0.0647,0.01615332,0.0,4638.0,14.554
Kepler-591 b,Neptune-like,Transit,2016,2010–2020,0.035910000000000004,0.302,0.3554,0.22231348,0.0,2561.0,14.628
Kepler-592 b,Neptune-like,Transit,2016,2010–2020,0.019844999999999998,0.213,0.0397,0.007665982,0.0,3762.0,14.846
Kepler-593 b,Neptune-like,Transit,2016,2010–2020,0.02709,0.256,0.1508,0.05804244,0.0,3176.0,14.622
Kepler-594 b,Neptune-like,Transit,2016,2010–2020,0.0169785,0.19445600000000002,0.1089,0.037234772,0.0,2509.0,14.906
Kepler-595 b,Neptune-like,Transit,2016,2010–2020,0.05481,0.331,0.1582,0.06926762,0.0,2097.0,15.067
Kepler-595 c,Super Earth,Transit,2020,2010–2020,0.010395,0.0900028,0.0983,0.03394935,0.0,2097.0,15.067
Kepler-596 b,Neptune-like,Transit,2016,2010–2020,0.03717,0.309,0.156,0.05831622,0.0,3340.0,14.128
Kepler-597 b,Neptune-like,Transit,2016,2010–2020,0.0195615,0.211,0.1056,0.03559206,0.0,2164.0,14.12
Kepler-598 b,Super Earth,Transit,2016,2010–2020,0.009009,0.1338,0.0438,0.010130048,0.0,2222.0,14.829
Kepler-598 c,Neptune-like,Transit,2020,2010–2020,0.02961,0.27,0.3576,0.2368241,0.0,2222.0,14.829
Kepler-599 b,Neptune-like,Transit,2016,2010–2020,0.0266175,0.253,0.1128,0.04298426,0.0,1822.0,15.067
Kepler-59 b,Super Earth,Transit,2012,2010–2020,0.004315500000000001,0.09812000000000001,0.104,0.032580424,0.0,3794.0,14.467
Kepler-59 c,Super Earth,Transit,2012,2010–2020,0.014427,0.176616,0.1372,0.049281314,0.0,3794.0,14.467
Kepler-5 b,Gas Giant,Transit,2009,Before 2010,2.111,1.426,0.0538,0.009582478,0.0,2935.0,13.325
Kepler-600 b,Neptune-like,Transit,2016,2010–2020,0.0275625,0.259,0.1536,0.06488707,0.0,2022.0,14.846
Kepler-601 b,Super Earth,Transit,2016,2010–2020,0.013450499999999999,0.16948,0.056,0.014784395,0.0,1353.0,14.151
Kepler-602 b,Super Earth,Transit,2016,2010–2020,0.015812999999999997,0.18642799999999998,0.1224,0.041889116,0.0,3782.0,14.72
Kepler-603 b,Neptune-like,Transit,2016,2010–2020,0.0236565,0.236,0.1502,0.057768654,0.0,5022.0,14.969
Kepler-603 c,Neptune-like,Transit,2016,2010–2020,0.108675,0.58,0.5001,0.35017112,0.0,5022.0,14.969
Kepler-603 d,Super Earth,Transit,2016,2010–2020,0.007245,0.117744,0.0666,0.016974675,0.0,5022.0,14.969
Kepler-604 b,Neptune-like,Transit,2016,2010–2020,0.022743,0.231,0.1735,0.070910335,0.0,3348.0,14.791
Kepler-605 b,Super Earth,Transit,2016,2010–2020,0.0084105,0.128448,0.042,0.009308693,0.0,1816.0,14.376
Kepler-605 c,Terrestrial,Transit,2016,2010–2020,0.0017828999999999998,0.076712,0.033,0.006570842,0.0,1816.0,14.376
Kepler-606 b,Neptune-like,Transit,2016,2010–2020,0.03465,0.295,0.17,0.06652977,0.0,3964.0,14.895
Kepler-607 b,Terrestrial,Transit,2016,2010–2020,0.0018585,0.077604,0.0135,0.0016427105,0.0,1693.0,14.672
Kepler-607 c,Neptune-like,Transit,2021,After 2020,0.0253575,0.246,0.2122,0.108692676,0.0,1693.0,14.672
Kepler-608 b,Neptune-like,Transit,2016,2010–2020,0.040635000000000004,0.325,0.0685,0.017522246,0.0,3088.0,14.84
Kepler-609 b,Neptune-like,Transit,2016,2010–2020,0.03528,0.299,0.0682,0.01779603,0.0,3477.0,14.96
Kepler-60 b,Super Earth,Transit,2012,2010–2020,0.013198500000000002,0.152532,0.0719,0.01943874,0.0,3344.0,13.95
Kepler-60 c,Super Earth,Transit,2012,2010–2020,0.012127500000000001,0.16948,0.0835,0.02436687,0.0,3344.0,13.95
Kepler-60 d,Neptune-like,Transit,2012,2010–2020,0.013104000000000001,0.177508,0.1012,0.032580424,0.0,3344.0,13.95
Kepler-610 b,Neptune-like,Transit,2016,2010–2020,0.051345,0.374,0.0719,0.019164955,0.0,2759.0,14.816
Kepler-610 c,Neptune-like,Transit,2016,2010–2020,0.034335000000000004,0.294,0.5594,0.41587952,0.0,2759.0,14.816
Kepler-611 b,Super Earth,Transit,2016,2010–2020,0.010584,0.14718,0.0351,0.006570842,0.0,4552.0,14.734
Kepler-612 b,Neptune-like,Transit,2016,2010–2020,0.0266175,0.253,0.0452,0.010130048,0.0,4715.0,15.191
Kepler-613 b,Neptune-like,Transit,2016,2010–2020,0.018459,0.204,0.1232,0.04325804,0.0,2810.0,14.795
Kepler-614 b,Neptune-like,Transit,2016,2010–2020,0.019844999999999998,0.213,0.1027,0.03832991,0.0,1722.0,14.81
Kepler-615 b,Super Earth,Transit,2016,2010–2020,0.011592,0.155208,0.085,0.028473647,0.0,1076.0,14.623
Kepler-616 b,Neptune-like,Transit,2016,2010–2020,0.020412000000000003,0.217,0.0927,0.027378507,0.0,3085.0,15.021
Kepler-616 c,Neptune-like,Transit,2016,2010–2020,0.036225,0.304,0.4024,0.24750172,0.0,3085.0,15.021
Kepler-616 d,Neptune-like,Transit,2021,After 2020,0.023687999999999997,0.237,0.2749,0.13990417,0.0,3085.0,15.021
Kepler-617 b,Super Earth,Transit,2016,2010–2020,0.007245,0.117744,0.0219,0.0046543465,0.0,565.0,15.549
Kepler-618 b,Neptune-like,Transit,2016,2010–2020,0.022900499999999997,0.232,0.046,0.009856262,0.0,3986.0,15.087
Kepler-619 b,Neptune-like,Transit,2016,2010–2020,0.031814999999999996,0.282,0.0611,0.014784395,0.0,2938.0,14.84
Kepler-619 c,Super Earth,Transit,2016,2010–2020,0.011025,0.150748,0.0225,0.003285421,0.0,2938.0,14.84
Kepler-61 b,Neptune-like,Transit,2013,2010–2020,0.016600499999999997,0.19178,0.24861,0.16399726,0.25,1093.0,15.277
Kepler-620 b,Neptune-like,Transit,2016,2010–2020,0.03465,0.296,0.1053,0.035318274,0.0,4421.0,14.844
Kepler-621 b,Neptune-like,Transit,2016,2010–2020,0.018585,0.205,0.031,0.007118412,0.0,1269.0,15.22
Kepler-622 b,Neptune-like,Transit,2016,2010–2020,0.016316999999999998,0.189996,0.0978,0.039151266,0.0,929.0,15.052
Kepler-623 b,Neptune-like,Transit,2016,2010–2020,0.029358000000000002,0.269,0.0854,0.024914443,0.0,2406.0,15.028
Kepler-624 b,Neptune-like,Transit,2016,2010–2020,0.018742500000000002,0.206,0.1172,0.039972622,0.0,2441.0,13.637
Kepler-625 b,Super Earth,Transit,2016,2010–2020,0.014553,0.177508,0.0768,0.021355236,0.0,2481.0,13.395
Kepler-625 c,Super Earth,Transit,2016,2010–2020,0.0036539999999999997,0.09366000000000001,0.0508,0.011498973,0.0,2481.0,13.395
Kepler-626 b,Neptune-like,Transit,2016,2010–2020,0.018459,0.204,0.115,0.039698835,0.0,2073.0,14.086
Kepler-627 b,Neptune-like,Transit,2016,2010–2020,0.042210000000000004,0.333,0.2327,0.111430526,0.0,3211.0,14.181
Kepler-628 b,Gas Giant,Transit,2016,2010–2020,0.168,0.749,0.1241,0.042436685,0.0,2929.0,13.138
Kepler-629 b,Super Earth,Transit,2016,2010–2020,0.007812,0.123096,0.0712,0.019712524,0.0,1214.0,13.481
Kepler-62 b,Super Earth,Transit,2013,2010–2020,0.02835,0.11685200000000001,0.0553,0.015605749,0.0,981.0,13.965
